,star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Name,__S_,__FHK_,__FHa_,Simbad,_RA,_DE
0,TIC 459832522,213.915338,19.182202,,,459832522.0,,,69673.0,2MASS J14153968+1910558,1472-01436-1,WDS J14157+1911A,* alf Boo,tic_near,-1093.0,8.0,-1999.0,8.0,TIC tic7,2019AJ....158..138S,2.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.18,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.05,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.68,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-2.252,0.157,TIC,2019AJ....158..138S,-2.81,9.996,TIC,2019AJ....158..138S,-2.911,0.17,TIC,2019AJ....158..138S,-1.254,0.167,,,,,,,,,88.83,0.54,TIC hip,2019AJ....158..138S,11.257458065968704,0.0684343955378036,TIC plx hip,2019AJ....158..138S,0,K1.5IIIFe-0.5,1989ApJS...71..245K,0,4295.0,9.0,Pastel,2022A&A...663A...4S,1.6053278628964351,0.019727405570539,calculated_from_M_and_R,Calculated Value,1.67,0.05,Pastel,2022A&A...663A...4S,-0.55,0.01,Pastel,2022A&A...663A...4S,2.2830749747354715,0.004401786176664,Stock2018,2018A&A...616A..33S,25.018645639478063,0.1645265267921034,calc_from_L_and_Teff,Calculated Value,0.92,0.04,Stock2018,2018A&A...616A..33S,0,8.709635899560796,1.1714901594339953,Stock2018,2018A&A...616A..33S,,,,,,,,1,0,A,0.3,3.33,,,,0,,HD   3443,0.17,82.95,29.09,Simbad,9.33625,-24.76727
1,TIC 245873777,68.980213,16.509084,,,245873777.0,,,21421.0,2MASS J04355524+1630331,1266-01416-1,WDS J04359+1631A,* alf Tau,tic_near,63.0,8.0,-189.0,8.0,TIC tic7,2019AJ....158..138S,4.32,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.4,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.86,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.37,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.31,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-2.095,0.194,TIC,2019AJ....158..138S,-2.775,0.17,TIC,2019AJ....158..138S,-3.044,0.14,TIC,2019AJ....158..138S,-1.2,0.209,,,,,,,,,48.94,0.77,TIC hip,2019AJ....158..138S,20.43318348998774,0.3214865404023408,TIC plx hip,2019AJ....158..138S,0,K5+III,1989ApJS...71..245K,0,3902.6,,TIC,2019AJ....158..138S,1.121076301243172,,calculated_from_M_and_R,Calculated Value,,,,,-0.3783,0.0183,TIC,2019AJ....158..138S,2.605585145784423,0.0113673021288717,Stock2018,2018A&A...616A..33S,43.92756573407304,,calc_from_L_and_Teff,Calculated Value,0.93,0.0299999999999999,Stock2018,2018A&A...616A..33S,0,9.549925860214367,0.8161194767309523,Stock2018,2018A&A...616A..33S,,,,,,,,1,0,A,31.6,12.75,,,,1,alf Tau,HD 210918,0.16,96.35,29.92,Simbad,333.66105,-41.38167
2,TIC 272314138,187.791407,-57.11318,,,272314138.0,,,61084.0,2MASS J12310993-5706474,8654-3422-1,WDS J12312-5707A,* gam Cru,tic_bright,28.0,8.0,-264.0,8.0,TIC tic7,2019AJ....158..138S,5.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.23,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.64,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.02,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.44,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.994,0.099,TIC,2019AJ....158..138S,-2.985,0.146,TIC,2019AJ....158..138S,-3.258,0.168,TIC,2019AJ....158..138S,-1.043,0.17,,,,,,,,,36.83,0.18,Simbad 2007A&A...474..653V,2007A&A...474..653V,27.15177844148792,0.1326994330564166,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,M3.5III,1989ApJS...71..245K,0,3689.0,125.0,McDonald2017,2017MNRAS.471..770M,0.460917370202639,0.0891723432562929,calculated_from_M_and_R,Calculated Value,0.712,,McDonald2017,2017MNRAS.471..770M,,,,,2.9352033256353525,0.0301499966114585,update McDonald2017,2017MNRAS.471..770M,71.85169160791429,5.47089608545175,calc_from_L_and_Teff,Calculated Value,0.5441563948589293,0.074945613199974,TIC_teff_mass_relation,Calculated Value,1,,,,,,,,,,,,1,0,A,133.2,4.62,,,,0,,HD  23249,0.13,22.68,19.26,Simbad,55.81209,-9.76339
3,TIC 322899250,101.286998,-16.715745,,,322899250.0,,,32349.0,2MASS J06450887-1642566,5949-2777-1,WDS J06451-1643A,* alf CMa,tic_near,-546.0,8.0,-1223.0,8.0,TIC tic7,2019AJ....158..138S,-1.51,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.43,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.391,0.109,TIC,2019AJ....158..138S,-1.391,0.184,TIC,2019AJ....158..138S,-1.39,0.214,TIC,2019AJ....158..138S,-0.891,0.8,,,,,,,,,379.21,1.58,Simbad 2007A&A...474..653V,2007A&A...474..653V,2.6370612589330453,0.0109874654917175,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,A0mA1Va,2003AJ....126.2048G,1,9712.0,,TIC,2019AJ....158..138S,4.31178527747503,,calculated_from_M_and_R,Calculated Value,,,,,0.4987,0.1028,TIC,2019AJ....158..138S,1.424240437142861,,Pecaut_and_Mamajek_2013,Calculated Value,1.8203525896298292,,calc_from_L_and_Teff,Calculated Value,2.4775856792237505,0.3234637220286627,TIC_teff_mass_relation,Calculated Value,0,,,,,,,,,,,,1,0,A,11.3,9.91,,,,0,,HD  10700,0.18,78.55,28.1,Simbad,26.01701,-15.93748
4,TIC 368326352,79.172437,45.997898,,,368326352.0,,,24608.0,2MASS J05164138+4559525,3358-3141-1,"WDS J05167+4600Aa,Ab",* alf Aur,tic_near,75.52,0.77,-427.13,0.5,TIC tic7,2019AJ....158..138S,1.33,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,0.88,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,0.08,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,-0.52,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,-0.96,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,-1.249,0.202,TIC,2019AJ....158..138S,-1.573,0.184,TIC,2019AJ....158..138S,-1.735,0.144,TIC,2019AJ....158..138S,-0.701,0.218,,,,,,,,,76.2,0.46,Simbad 2007A&A...474..653V,2007A&A...474..653V,13.0,,Simbad 2010A&ARv..18...67T,2010A&ARv..18...67T,0,G3III:,1989ApJS...71..245K,0,5205.0,45.0,Pastel,2022A&A...663A...4S,2.080186334839874,,calculated_from_M_and_R,Calculated Value,2.5,0.34,Pastel,2022A&A...663A...4S,-0.37,0.06,Pastel,2022A&A...663A...4S,2.1252922899714317,,update McDonald2017,2017MNRAS.471..770M,14.205526091276626,,calc_from_L_and_Teff,Calculated Value,0.8851835852264439,0.1031470100114162,TIC_teff_mass_relation,Calculated Value,1,,,,,,,,,,,,1,0,"Aa,Ab",0.0,0.0999999999999999,,,,0,,HD  22049,0.47,89.9,24.74,Simbad,53.23268,-9.45826
5,TIC 471011144,219.903981,-60.837157,,,471011144.0,,,71681.0,,9007-05848-1,WDS J14396-6050B,* alf Cen B,tic_near,-3600.35,26.1,952.11,19.75,TIC tic7,2019AJ....158..138S,2.89,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.21,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.33,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,-0.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.49,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.6,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.15,1.5,,,,,,,,,742.12,1.4,TIC hip,2019AJ....158..138S,1.3474909718104888,0.002542024686755,TIC plx hip,2019AJ....158..138S,0,K1V,2006A&A...460..695T,1,5244.0,13.0,Pastel,2022A&A...663A...4S,4.481990873150966,,calculated_from_M_and_R,Calculated Value,4.54,0.03,Pastel,2022A&A...663A...4S,0.24,0.01,Pastel,2022A&A...663A...4S,-0.2583092356262869,,Pecaut_and_Mamajek_2013,Calculated Value,0.899855262848747,,calc_from_L_and_Teff,Calculated Value,0.8959186306211407,0.1054483509367551,TIC_teff_mass_relation,Calculated Value,0,,,,,,7.285097,17.195761,5.877724974403178e+18,1.763552,20.252535,5.877724974431824e+18,1,0,B,5.3,-1.34,,,,0,,HD  38393,0.16,188.15,39.16,Simbad,86.11579,-22.44838
6,TIC 280310048,114.825217,5.224936,,,280310048.0,,,37279.0,2MASS J07391805+0513298,0187-02184-1,WDS J07393+0514A,* alf CMi,tic_near,-717.0,8.0,-1035.0,8.0,TIC tic7,2019AJ....158..138S,0.82,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.79,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.37,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.05,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.28,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.498,0.151,TIC,2019AJ....158..138S,-0.666,0.27,TIC,2019AJ....158..138S,-0.658,0.322,TIC,2019AJ....158..138S,-0.105,0.19,,,,,,,,,285.93,0.88,TIC hip,2019AJ....158..138S,3.497359493582345,0.0107637406160684,TIC plx hip,2019AJ....158..138S,0,F5IV-V+DQZ,2013yCat....1.2023S,1,6584.0,,TIC,2019AJ....158..138S,3.99361050028692,,calculated_from_M_and_R,Calculated Value,,,,,0.0073,0.0079,TIC,2019AJ....158..138S,0.857802556964839,,Pecaut_and_Mamajek_2013,Calculated Value,2.0633565402794045,,calc_from_L_and_Teff,Calculated Value,1.53,0.03,gcs_reanalysis,2011A&A...530A.138C,0,1.74,0.3499999999999998,gcs_reanalysis,2011A&A...530A.138C,,,,,,,,1,0,A,3.8,10.34,,,,0,,HD  27442,0.13,10.34,12.42,Simbad,64.12095,-59.30216
7,TIC 471011145,219.910043,-60.833976,,,471011145.0,,,71683.0,2MASS J14393592-6050069,9007-5849-1,WDS J14396-6050A,* alf Cen A,tic_near,-3678.19,1.51,481.84,1.24,TIC tic7,2019AJ....158..138S,0.96,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.72,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,-1.454,0.133,Simbad 2003yCat.2246....0C,2003yCat.2246....0C,-1.886,0.22,Simbad 2003yCat.2246....0C,2003yCat.2246....0C,-2.008,0.26,Simbad 2003yCat.2246....0C,2003yCat.2246....0C,-0.01,,,,,,,,,,742.12,1.4,TIC hip,2019AJ....158..138S,1.3474909718104888,0.002542024686755,TIC plx hip,2019AJ....158..138S,0,G2V,2006A&A...460..695T,1,5776.0,16.0,Pastel,2022A&A...663A...4S,4.23444456040393,,calculated_from_M_and_R,Calculated Value,4.3,0.03,Pastel,2022A&A...663A...4S,0.2,0.01,Pastel,2022A&A...663A...4S,0.2198564358187633,,Pecaut_and_Mamajek_2013,Calculated Value,1.2862532752257885,,calc_from_L_and_Teff,Calculated Value,1.035213484399243,0.1216357329807734,TIC_teff_mass_relation,Calculated Value,0,,,,,,7.405878,15.110233,5.877748442111773e+18,4.484037,20.428917,5.877748442133075e+18,1,0,A,5.3,1.34,,,,0,,HD  26965,0.19,51.55,26.41,Simbad,63.818,-7.65287
8,TIC 157587146,279.234764,38.783747,,,157587146.0,,,91262.0,2MASS J18365633+3847012,3105-2070-1,WDS J18369+3846A,* alf Lyr,tic_near,201.02,0.57,287.46,0.6,TIC tic7,2019AJ....158..138S,0.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.07,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.1,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.177,0.206,TIC,2019AJ....158..138S,-0.029,0.146,TIC,2019AJ....158..138S,0.129,0.186,TIC,2019AJ....158..138S,0.323,0.8,,,,,,,,,128.93,0.55,TIC hip,2019AJ....158..138S,7.756146746296439,0.0330867967925466,TIC plx hip,2019AJ....158..138S,0,A0Va,2003AJ....126.2048G,1,9458.3,,TIC,2019AJ....158..138S,3.911880206165238,,calculated_from_M_and_R,Calculated Value,,,,,-0.4724,0.075,TIC,2019AJ....158..138S,1.7652920346719942,,Pecaut_and_Mamajek_2013,Calculated Value,2.8423168672992976,,calc_from_L_and_Teff,Calculated Value,2.4052352692799066,0.3192164871142279,TIC_teff_mass_relation,Calculated Value,0,,,,,,,,,,,,1,0,A,84.5,9.41,,,,0,,HD 209100,0.44,31.67,16.02,Simbad,330.84024,-56.78598
9,TIC 423088367,116.328966,28.026137,,,423088367.0,,,37826.0,2MASS J07451891+2801340,1920-02194-1,WDS J07453+2802A,* bet Gem,tic_bright,-626.0,8.0,-46.0,8.0,TIC tic7,2019AJ....158..138S,3.0,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.14,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.14,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.39,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.11,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.315,0.232,TIC,2019AJ....158..138S,-0.845,0.178,TIC,2019AJ....158..138S,-0.936,0.16,TIC,2019AJ....158..138S,0.443,0.239,,,,,,,,,96.54,0.27,Simbad 2007A&A...474..653V,2007A&A...474..653V,10.358400662937642,0.0289700453593656,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,K0IIIb,1989ApJS...71..245K,0,4860.0,20.0,Pastel,2022A&A...663A...4S,2.850487304998192,0.0217211728632346,calculated_from_M_and_R,Calculated Value,2.89,0.04,Pastel,2022A&A...663A...4S,0.02,0.03,Pastel,2022A&A...663A...4S,1.594171479114912,0.0018795840611902,Stock2018,2018A&A...616A..33S,8.840276440775776,0.0752322773051648,calc_from_L_and_Teff,Calculated Value,2.02,0.0949999999999999,Stock2018,2018A&A...616A..33S,0,1.2882495516931325,0.1705091196925753,Stock2018,2018A&A...616A..33S,,,,,,,,1,0,A,39.8,12.37,,,,1,HD 62509,HD 120136,0.19,203.95,36.65,Simbad,206.8156,17.45691
